name,ndcg_WT,P_20_WT,map_WT,ndcg_cut_20_WT,recip_rank_WT,bpref_WT,ndcg_ST,P_20_ST,map_ST,ndcg_cut_20_ST,recip_rank_ST,bpref_ST,ndcg,P_20,map,ndcg_cut_20,recip_rank,bpref,ndcg_WT_ST,ndcg_WT_LT,ndcg_ST_LT,P_20_WT_ST,P_20_WT_LT,P_20_ST_LT,map_WT_ST,map_WT_LT,map_ST_LT,ndcg_cut_20_WT_ST,ndcg_cut_20_WT_LT,ndcg_cut_20_ST_LT,recip_rank_WT_ST,recip_rank_WT_LT,recip_rank_ST_LT,bpref_WT_ST,bpref_WT_LT,bpref_ST_LT
IRC_E5_base,0.2891,0.0673,0.1629,0.2214,0.2923,0.327,0.297,0.0652,0.1599,0.2227,0.2915,0.3519,0.3131,0.0726,0.1661,0.2325,0.305,0.3554,-0.007899999999999963,-0.023999999999999966,-0.016100000000000003,0.0021000000000000046,-0.005299999999999999,-0.007400000000000004,0.0030000000000000027,-0.0032000000000000084,-0.006200000000000011,-0.0012999999999999956,-0.011099999999999999,-0.009800000000000003,0.0008000000000000229,-0.012699999999999989,-0.013500000000000012,-0.024899999999999978,-0.02839999999999998,-0.003500000000000003
IRC_RRF(BM25+Bo1-XSqrA_M-PL2),0.2842,0.0658,0.1355,0.1984,0.2487,0.3122,0.2939,0.0657,0.1516,0.2135,0.2557,0.3264,0.3068,0.0738,0.1557,0.2202,0.2716,0.322,-0.009699999999999986,-0.02260000000000001,-0.012900000000000023,0.00010000000000000286,-0.008000000000000007,-0.00810000000000001,-0.016100000000000003,-0.020199999999999996,-0.0040999999999999925,-0.015100000000000002,-0.021800000000000014,-0.0067000000000000115,-0.0069999999999999785,-0.022900000000000004,-0.015900000000000025,-0.014200000000000046,-0.009800000000000031,0.004400000000000015
IRC_BM25+monoT5,0.3034,0.0781,0.1642,0.2406,0.2934,0.3093,0.3256,0.0768,0.19,0.2602,0.3271,0.3485,0.3376,0.0856,0.1895,0.2662,0.3359,0.3429,-0.022199999999999998,-0.03420000000000001,-0.01200000000000001,0.0013000000000000095,-0.007499999999999993,-0.008800000000000002,-0.02579999999999999,-0.02529999999999999,0.0005000000000000004,-0.01959999999999998,-0.025599999999999984,-0.006000000000000005,-0.03370000000000001,-0.04249999999999998,-0.008799999999999975,-0.03919999999999996,-0.03359999999999996,0.005599999999999994
IRC_d2q+BM25,0.2746,0.0684,0.1347,0.1963,0.2257,0.3109,0.3072,0.0705,0.168,0.2316,0.2789,0.3353,0.3211,0.0793,0.1736,0.2397,0.2937,0.3337,-0.03259999999999996,-0.046499999999999986,-0.013900000000000023,-0.0020999999999999908,-0.010899999999999993,-0.008800000000000002,-0.033300000000000024,-0.03890000000000002,-0.005599999999999994,-0.0353,-0.043399999999999994,-0.008099999999999996,-0.05319999999999997,-0.068,-0.014800000000000035,-0.024399999999999977,-0.022799999999999987,0.0015999999999999903
IRC_BM25+colBERT,0.2883,0.0704,0.1551,0.2189,0.2572,0.3246,0.3132,0.0705,0.1769,0.2419,0.31,0.3445,0.3209,0.0775,0.1736,0.2439,0.3188,0.3288,-0.024899999999999978,-0.03260000000000002,-0.00770000000000004,-9.999999999998899e-05,-0.007099999999999995,-0.007000000000000006,-0.021800000000000014,-0.018500000000000016,0.0032999999999999974,-0.022999999999999993,-0.024999999999999994,-0.0020000000000000018,-0.052800000000000014,-0.06159999999999999,-0.008799999999999975,-0.019899999999999973,-0.0041999999999999815,0.015699999999999992
